        1001   100.00000000000000              985         956
        2001   89.999997615814209              990        1770
        3001   80.999995708465633              982        2626
        4001   72.899994206428687              977        3412
        5001   65.609993047714511              977        4232
        6001   59.048992178678930              974        5066
        7001   53.144091552973357              970        5784
        8001   47.829681130622141              955        6592
        9001   43.046711877211465              963        7390
       10001   38.742039663176733              970        8094
       11001   34.867834773176853              956        8868
       12001   31.381050464545204              950        9636
       13001   28.242944669908137              937       10378
       14001   25.418649529553051              933       11166
       15001   22.876783970569914              931       11964
       16001   20.589105028087889              927       12770
       17001   18.530194034396583              899       13518
       18001   16.677174189162670              910       14234
       19001   15.009456372631586              885       14962
       20001   13.508510377515101              884       15766
       21001   12.157659017695606              859       16438
       22001   10.941892826064866              851       17162
       23001   9.8477032825833248              836       17874
       24001   8.8629327195374508              845       18548
       25001   7.9766392362749228              786       19142
       26001   7.1789751224695308              737       19748
       27001   6.4610774390624730              775       20338
       28001   5.8149695411121352              734       20976
       29001   5.2334724483612440              700       21506
       30001   4.7101250787494129              631       22066
       31001   4.2391124585763391              638       22572
       32001   3.8152011116503881              565       23028
       33001   3.4336809095238663              560       23454
       34001   3.0903127367061471              482       23818
       35001   2.7812813893567352              433       24156
       36001   2.5031531841101460              395       24490
       37001   2.2528378060193091              393       24794
       38001   2.0275539717055393              289       25004
       39001   1.8247985261943316              259       25162
       40001   1.6423186300683112              171       25260
       41001   1.4780867279055527              178       25368
       42001   1.3302780198746638              138       25444
       43001   1.1972501861708980               79       25524
       44001   1.0775251390091394               65       25546
       45001  0.96977259941802418               22       25562
       46001  0.87279531635504126               39       25580
       47001  0.78551576391047517               20       25588
       48001  0.70696416879127244                4       25590
       49001  0.63626773505680589               11       25590
       50001  0.57264094638132035                5       25588
       51001  0.51537683809036428                0       25588
       52001  0.46383914199378651                0       25588
       53001  0.41745521673562092                0       25588
       54001  0.37570968510915087                0       25588
       55001  0.33813870764061887                0       25588
       56001  0.30432482881470196                0       25588
       57001  0.27389233867756246                0       25588
       58001  0.24650309827970399                0       25588
       59001  0.22185278257464175                0       25588
       60001  0.19966749902779504                0       25588
       61001  0.17970074436457140                0       25588
       62001  0.16173066564371463                0       25588
       63001  0.14555759522338363                0       25588
       64001  0.13100183223068176                0       25588
       65001  0.11790164588428652                0       25588
       66001  0.10611147848486358                0       25588
